Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Explicit/1,1.6454785612038959e-6,1.6197662799563607e-6,1.6825150021351634e-6,1.024791550981531e-7,7.791429011260932e-8,1.500847204613444e-7
Explicit/2,1.0326545472531941e-5,1.0240195676939775e-5,1.0448913134370996e-5,3.268252399867845e-7,2.505435292834148e-7,4.530102279334081e-7
Explicit/3,5.1119024564977246e-5,5.077961087221527e-5,5.1521282512235296e-5,1.2296198876950423e-6,9.742972239204717e-7,1.5848928061387955e-6
Explicit/4,2.1524786349021212e-4,2.1443524808498893e-4,2.1649941866151072e-4,3.371480156254168e-6,2.6801123694800664e-6,4.725704949627418e-6
Explicit/5,9.432874214294291e-4,9.354587552432541e-4,9.577749354032844e-4,3.4710620887471494e-5,2.0401574720080557e-5,5.381574079553374e-5
Explicit/6,4.298783049086005e-3,4.260143716543827e-3,4.357059606880483e-3,1.5011172825494056e-4,1.1409078661258557e-4,2.0387278823635207e-4
succinct/1,1.1988993685966823e-6,1.191477111986675e-6,1.215150318864385e-6,3.560766511630398e-8,1.9285395858064053e-8,6.050924679687664e-8
succinct/2,8.560105334987117e-6,8.489669426168935e-6,8.682085483171554e-6,3.1803909184522855e-7,2.08567240483322e-7,5.511177719485986e-7
succinct/3,1.1602944633422567e-4,1.1371534824598785e-4,1.2066990917447627e-4,1.0623261699109053e-5,5.147972553604071e-6,1.818845560560558e-5
succinct/4,2.5772006241562106e-3,2.554773264117988e-3,2.6076801050369993e-3,8.955944463368926e-5,6.116051471844945e-5,1.2732698321474674e-4
succinct/5,8.442883684467695e-2,8.31909410642933e-2,8.657235867229045e-2,2.7709104195420883e-3,1.7171378389903846e-3,4.089412348881289e-3
succinct/6,3.469664800082986,3.4370774367498598,3.5006137122509244,3.631218653220478e-2,1.2432306783166994e-2,4.8910247685127875e-2
